Name,Deepdock,XP,Karmadock,Transfoxmol,smiles,,,,,,,,
lig_2158,-154.2251614,-10.001,21.3,,CN@H+1CCC@@H(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C@@H1CO,,,,,,,,
lig_1860,-151.0708021,-9.951,23.79,,O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,,,,,,,,
lig_765,-147.2275392,-9.823,26.85,,COc1ccc(-c2oc3c4c(cc(O)c3c(=O)c2O)OC(C)(C)CC4)cc1,,,,,,,,
lig_747,-142.3218795,-10.687,22.88,,COc1cc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O,,,,,,,,
lig_2269,-141.4064756,-9.649,26.57,,O=C1c2c(O)cccc2C@@H(C@@H2OC@H(CO)C@@H(O)C@H(O)C@H2O)c2cc(CO)cc(O)c21,,,,,,,,
lig_2603,-141.1977793,-10.242,23.65,,CCN1CCNH+(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1,,,,,,,,
lig_2179,-138.2182499,-9.569,24.29,,O=C1c2c(O)cccc2C@@H(C@@H2OC@H(CO)C@@H(O)C@H(O)C@H2O)c2cc(CO)cc(O)c21,,,,,,,,
lig_2866,-133.3055577,-9.565,27.03,,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,,,,,,,,
lig_3223,-131.6551827,-10.801,26.76,,CCN@@H+(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)nHn3)ncnc2c1)CCOP(=O)(O-)O-,,,,,,,,
lig_1605,-130.8767895,-11.185,19.99,,CC@H(Cc1ccc(O)c(O)c1)C@H(C)Cc1ccc(O)c(O)c1,,,,,,,,
lig_3278,-130.7655962,-9.604,21,,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1OC@@H1OC@H(CO)C@@H(O)C@H(O)C@H1O,,,,,,,,
lig_1714,-126.6376307,-9.642,26.6,,COc1cc(C(=O)c2cc(NS(C)(=O)=O)cc(-c3cccc4nHccc34)c2)ccn1,,,,,,,,
lig_1565,-126.0720529,-9.828,21.14,,O=C(O-)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,,,,,,,,
lig_2779,-125.7394941,-10.541,26.45,,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC@@H3OC@H(CO)C@@H(O)C@H(O)C@H3O)cc(O)c12,,,,,,,,
lig_3437,-124.1337878,-9.516,20.03,,Cn1c(CNc2cccc(C(=O)NCc3ccccc3C(F)(F)F)c2)nnc1-c1ccncc1,,,,,,,,
lig_2822,-121.7557836,-11.36,23.94,,O=c1cc(-c2ccc(O)cc2)oc2c(C@@H3OC@H(CO)C@@H(O)C@H(O)C@H3O)c(O)cc(O)c12,,,,,,,,
lig_3051,-119.9554452,-10.3,21.9,,CC(=O)Cc1cc(=O)c2c(C)cc(O)c(C@@H3OC@H(CO)C@@H(O)C@H(O)C@H3O)c2o1,,,,,,,,
lig_2330,-119.4160953,-10.965,31.08,,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,,,,,,,,
lig_373,-118.7821776,-10.822,25.04,,C=CC(=O)Nc1cc(C)ccc1Nc1nc(Nc2cc(OC)ncc2C)ncc1C(F)(F)F,,,,,,,,
lig_3251,-118.443524,-10.067,21.11,,Oc1ccc(C(c2cnHc3ccccc23)c2cnHc3ccccc23)cc1,,,,,,,,
lig_32,-118.1658491,-9.595,20.64,,O=c1nHc2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,,,,,,,,
lig_1284,-117.0821346,-9.474,24.14,,CCCc1c(O)c(O)c(C(=O)O-)c2cc(Cc3ccccc3)c(C)cc12,,,,,,,,
